source_row,company,type,city,state,country,website,domain
26,Game Gears (GDEV),Mobile,Limassol,Limassol,Cyprus,https://www.gamegears.online/,gamegears.online
27,GDEV,Publisher,Limassol,Limassol,Cyprus,https://www.gdev.inc/,gdev.inc
28,Gem Capital,Investment,Paphos,Paphos,Cyprus,https://gem.capital/,gem.capital
29,Green Grey Holding,Developer and Publisher,Limassol,Limassol,Cyprus,https://greengreyholding.com/,greengreyholding.com
30,Guli Games,Mobile,Nicosia,Nicosia,Cyprus,https://guli-games.com/,guli-games.com
31,HeroCraft,Developer and Publisher,Nicosia,Nicosia,Cyprus,https://herocraft.com/,herocraft.com
32,HolyDay Studios,Developer,Nicosia,Nicosia,Cyprus,https://www.holydaygames.com,holydaygames.com
33,Hot Siberians,Mobile,Limassol,Limassol,Cyprus,https://hotsiberians.com/,hotsiberians.com
34,Hyperhug,Mobile,Limassol,Limassol,Cyprus,https://hyperhug.io/,hyperhug.io
35,HypeTrain Digital,Developer and Publisher,Nicosia,Nicosia,Cyprus,https://hypetraindigital.com/,hypetraindigital.com
36,Lesser Evil Games,Developer,Nicosia,Nicosia,Cyprus,https://executionergame.com/,executionergame.com
37,Light Hour Games (GDEV),Mobile,Limassol,Limassol,Cyprus,https://www.lighthour.games/,lighthour.games
38,Made on Earth Games,Mobile,Limassol,Limassol,Cyprus,https://madeonearth.games/,madeonearth.games
39,MGVC (My.Games),Investment,Limassol,Limassol,Cyprus,https://mgvc.com/,mgvc.com
40,MGVC Publishing (My.Games),Publisher,Limassol,Limassol,Cyprus,https://about.my.games/publishing,about.my.games
41,Mika Games,Mobile,Nicosia,Nicosia,Cyprus,https://www.mika.games/,mika.games
42,Mundfish,Developer,Paphos,Paphos,Cyprus,https://mundfish.com/,mundfish.com
43,Mundfish Powerhouse,Publisher,Paphos,Paphos,Cyprus,https://mundfish.com/,mundfish.com
44,Murka Games,Developer,Limassol,Limassol,Cyprus,https://murka.com/,murka.com
45,My.Games,Online,Limassol,Limassol,Cyprus,https://my.games,my.games
46,Narhwal Accelerator,Incubator/Accelerator,Paphos,Paphos,Cyprus,https://narwhal.ax/,narwhal.ax
47,Nekki,Mobile,Limassol,Limassol,Cyprus,https://nekki.com/,nekki.com
48,New Folder Games,Extended Reality (XR),Paphos,Paphos,Cyprus,https://newfolderstudio.com/,newfolderstudio.com
49,Nexters (GDEV),Mobile,Larnaca,Larnaca,Cyprus,https://www.nexters.com/,nexters.com
50,Nexters (GDEV),Mobile,Limassol,Limassol,Cyprus,https://www.nexters.com/,nexters.com
51,Nice Plans Studio,Mobile,Limassol,Limassol,Cyprus,https://niceplans.studio/,niceplans.studio
52,Nival,Developer,Limassol,Limassol,Cyprus,https://en.nival.com/,en.nival.com
53,Nova Assembly,Organization,Limassol,Limassol,Cyprus,https://novaassembly.com/,novaassembly.com
54,Obelisk Studio,Developer,Limassol,Limassol,Cyprus,https://obeliskstd.com/,obeliskstd.com
55,Outfit7,Mobile,Pissouri,Limassol,Cyprus,https://outfit7.com/,outfit7.com
56,Owlcat Games,Developer,Paphos,Paphos,Cyprus,https://owlcat.games/,owlcat.games
57,Pixonic,Mobile,Limassol,Limassol,Cyprus,https://pixonic.com/,pixonic.com
58,Playkot,Mobile,Limassol,Limassol,Cyprus,https://en.playkot.com,en.playkot.com
59,Playrix,Mobile,Limassol,Limassol,Cyprus,https://playrix.com/,playrix.com
60,Polden Publishing,Publisher,Nicosia,Nicosia,Cyprus,https://www.polden.gg/,polden.gg
61,Press Fire Games,Mobile,Limassol,Limassol,Cyprus,https://www.pressfire.com/,pressfire.com
62,Qumaron,Developer and Publisher,Nicosia,Nicosia,Cyprus,https://www.qumaron.com,qumaron.com
63,Rainstyle Games,Mobile,Larnaca,Larnaca,Cyprus,https://rainstylegames.com/,rainstylegames.com
64,ReactGames Studio,Mobile,Paphos,Paphos,Cyprus,https://react-games.studio/,react-games.studio
65,Red Brix Wall,Mobile,Nicosia,Nicosia,Cyprus,https://redbrixwall.com/,redbrixwall.com
66,redux.games,Mobile,Limassol,Limassol,Cyprus,https://redux.games/,redux.games
67,Reef Games Studio,Mobile,Paphos,Paphos,Cyprus,https://reefgames.ltd/,reefgames.ltd
68,RetroStyle Games,Developer,Limassol,Limassol,Cyprus,https://retrostylegames.com/,retrostylegames.com
69,RJ Games (Nexters),Mobile,Limassol,Limassol,Cyprus,https://rj-games.com/,rj-games.com
70,Say Games,Publisher,Limassol,Limassol,Cyprus,https://saygames.by/,saygames.by
71,Say Games,Publisher,Paphos,Paphos,Cyprus,https://saygames.by/,saygames.by
72,Shaman Games Studio,Developer,Paphos,Paphos,Cyprus,https://shamangs.com/,shamangs.com
73,Studio42,Mobile,Limassol,Limassol,Cyprus,https://std42.com/,std42.com
74,Sunday Games,Mobile,Erimi,Limassol,Cyprus,https://sunday.games/,sunday.games
75,Tamasenco,Developer,Limassol,Limassol,Cyprus,https://tamasenco.com/,tamasenco.com
76,Team Clout,Developer,Nicosia,Nicosia,Cyprus,https://www.clout.games,clout.games
77,TrueMyth Games,Mobile,Limassol,Limassol,Cyprus,https://www.truemythgames.com,truemythgames.com
78,Unfrozen Studios,Developer,Limassol,Limassol,Cyprus,https://unfrozen.studio/,unfrozen.studio
79,VEA Games,Developer,Limassol,Limassol,Cyprus,https://www.veagames.com/,veagames.com
80,Wargaming Cyprus,Online,Nicosia,Nicosia,Cyprus,https://wargaming.com/,wargaming.com
81,Weappy Studio,Developer,Limassol,Limassol,Cyprus,https://weappy-studio.com/,weappy-studio.com
82,XDevs,Developer,Nicosia,Nicosia,Cyprus,https://xdevs.ltd/,xdevs.ltd
