company,type,city,website,domain,careers_url,status,source_type,ats,confidence,evidence
Mika Games,Mobile,Nicosia,https://www.mika.games/,mika.games,https://www.mika.games/careers,found,custom,,85,homepage-link:Careers | career-like-url
Mundfish,Developer,Paphos,https://mundfish.com/,mundfish.com,,unreachable,,,0,homepage-unreachable
Mundfish Powerhouse,Publisher,Paphos,https://mundfish.com/,mundfish.com,,unreachable,,,0,homepage-unreachable
Murka Games,Developer,Limassol,https://murka.com/,murka.com,https://murka.com/careers,possible,custom,,55,common-path:/careers | career-like-url
My.Games,Online,Limassol,https://my.games,my.games,https://careers.my.games,possible,custom,,55,common-path:/careers | career-like-url
Narhwal Accelerator,Incubator/Accelerator,Paphos,https://narwhal.ax/,narwhal.ax,,not_found,,,0,
Nekki,Mobile,Limassol,https://nekki.com/,nekki.com,https://nekki.com/vacancy/cascadeur-shablon-2/,possible,custom,,50,"homepage-link:PHP Backend Developer, Remote | career-like-url"
New Folder Games,Extended Reality (XR),Paphos,https://newfolderstudio.com/,newfolderstudio.com,https://newfolderstudio.com/careers,found,custom,,97,homepage-link:CAREERS | page:join our team | career-like-url
Nexters (GDEV),Mobile,Larnaca,https://www.nexters.com/,nexters.com,,not_found,,,0,
Nexters (GDEV),Mobile,Limassol,https://www.nexters.com/,nexters.com,,not_found,,,0,
Nice Plans Studio,Mobile,Limassol,https://niceplans.studio/,niceplans.studio,,error,,,0,error:FeatureNotFound
Nival,Developer,Limassol,https://en.nival.com/,en.nival.com,https://nival.com/career/vacancies,found,custom,,100,homepage-link:CAREERS | page:job openings | page:career opportunities | career-like-url
Nova Assembly,Organization,Limassol,https://novaassembly.com/,novaassembly.com,,error,,,0,error:FeatureNotFound
Obelisk Studio,Developer,Limassol,https://obeliskstd.com/,obeliskstd.com,,not_found,,,0,
Outfit7,Mobile,Pissouri,https://outfit7.com/,outfit7.com,https://outfit7.com/careers/jobs,found,custom,,100,homepage-link:Explore all open job openings | page:open positions | career-like-url
Owlcat Games,Developer,Paphos,https://owlcat.games/,owlcat.games,https://owlcat.games/careers,found,custom,,97,homepage-link:Careers | page:open positions | career-like-url
Pixonic,Mobile,Limassol,https://pixonic.com/,pixonic.com,,not_found,,,0,
Playkot,Mobile,Limassol,https://en.playkot.com,en.playkot.com,https://playkot.com/jobs,found,custom,,100,homepage-link:Careers | career-like-url
Playrix,Mobile,Limassol,https://playrix.com/,playrix.com,https://playrix.com/careers,possible,custom,,55,common-path:/careers | career-like-url
Polden Publishing,Publisher,Nicosia,https://www.polden.gg/,polden.gg,,not_found,,,0,
Press Fire Games,Mobile,Limassol,https://www.pressfire.com/,pressfire.com,https://www.pressfire.com/career,possible,custom,,55,common-path:/career | career-like-url
Qumaron,Developer and Publisher,Nicosia,https://www.qumaron.com,qumaron.com,https://qumaron.com/careers/,possible,custom,,55,common-path:/careers | career-like-url
Rainstyle Games,Mobile,Larnaca,https://rainstylegames.com/,rainstylegames.com,https://rainstylegames.com/careers/,found,custom,,85,homepage-link:Careers | career-like-url
ReactGames Studio,Mobile,Paphos,https://react-games.studio/,react-games.studio,https://react-games.studio/rgs_career,possible,custom,,50,homepage-link:Career | career-like-url
Red Brix Wall,Mobile,Nicosia,https://redbrixwall.com/,redbrixwall.com,,not_found,,,0,
redux.games,Mobile,Limassol,https://redux.games/,redux.games,,not_found,,,0,
Reef Games Studio,Mobile,Paphos,https://reefgames.ltd/,reefgames.ltd,,error,,,0,error:FeatureNotFound
RetroStyle Games,Developer,Limassol,https://retrostylegames.com/,retrostylegames.com,https://retrostylegames.com/careers/,found,custom,,97,homepage-link:Careers | page:apply now | career-like-url
RJ Games (Nexters),Mobile,Limassol,https://rj-games.com/,rj-games.com,https://rj-games.com/careers,possible,custom,,55,common-path:/careers | career-like-url
Say Games,Publisher,Limassol,https://saygames.by/,saygames.by,https://say.games/jobs/,found,custom,,100,homepage-link:Careers | page:open positions | career-like-url
Say Games,Publisher,Paphos,https://saygames.by/,saygames.by,https://say.games/jobs/,found,custom,,100,homepage-link:Careers | page:open positions | career-like-url
Shaman Games Studio,Developer,Paphos,https://shamangs.com/,shamangs.com,,not_found,,,0,
Studio42,Mobile,Limassol,https://std42.com/,std42.com,https://std42.com/vacancies,possible,custom,,55,common-path:/vacancies | career-like-url
Sunday Games,Mobile,Erimi,https://sunday.games/,sunday.games,https://sunday.games/careers/,found,custom,,85,homepage-link:CAREERS | career-like-url
Tamasenco,Developer,Limassol,https://tamasenco.com/,tamasenco.com,https://tamasenco.com/careers/,found,custom,,97,homepage-link:Careers | page:join our team | career-like-url
Team Clout,Developer,Nicosia,https://www.clout.games,clout.games,https://www.clout.games/careers,found,custom,,97,homepage-link:Careers | page:join our team | career-like-url
TrueMyth Games,Mobile,Limassol,https://www.truemythgames.com,truemythgames.com,https://www.truemythgames.com/game-content-creator-internship.html,found,custom,,100,homepage-link:Careers | schema:JobPosting
Unfrozen Studios,Developer,Limassol,https://unfrozen.studio/,unfrozen.studio,https://unfrozen.studio/jobs/,found,custom,,80,homepage-link:Jobs | page:open positions | career-like-url
VEA Games,Developer,Limassol,https://www.veagames.com/,veagames.com,,error,,,0,error:FeatureNotFound
Wargaming Cyprus,Online,Nicosia,https://wargaming.com/,wargaming.com,https://wargaming.com/en/careers/,found,custom,,97,homepage-link:Careers | page:job openings | career-like-url
Weappy Studio,Developer,Limassol,https://weappy-studio.com/,weappy-studio.com,,error,,,0,error:FeatureNotFound
XDevs,Developer,Nicosia,https://xdevs.ltd/,xdevs.ltd,https://xdevs.ltd/careers,possible,custom,,55,common-path:/careers | career-like-url
